Instance Name; Schedule Type;FS;BFS;UFS;Run nr;Cmax;LinearStartDelay;Start Punctuality;Finish Punctuality
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;3;248,541898581945;888,294362429797;0,99009900990099;1
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;4;239,499671088956;863,098944237489;0,99009900990099;0,99009900990099
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;5;241,913778317611;851,160214901981;0,99009900990099;1
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;6;231,712655333014;841,221378141075;0,742574257425743;0,752475247524752
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;7;246,328016534476;965,749376944246;0,99009900990099;0,99009900990099
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;8;249,813996643682;947,215348447775;0,99009900990099;0,99009900990099
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;9;246,894474363488;969,220117443315;0,99009900990099;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;0;287,651304328155;1260,46453345587;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;1;284,660731521596;1454,75759631761;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;2;288,903231387126;1421,89851093411;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;3;289,602557765212;1516,208774539;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;4;294,440229027918;1846,26623883542;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;5;290,337479071491;1725,5167823249;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;6;291,479962426689;1820,18552801602;0,98019801980198;1
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;7;289,631741077672;1832,64604211011;0,98019801980198;0,99009900990099
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;8;292,795259412487;2022,95746497903;0,98019801980198;0,99009900990099
100j-50r-6m.ms;GreedyLoadBalancing;432;42;90;9;285,991636021753;1441,23288495397;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;0;408,549598571076;145,819035113675;0,98019801980198;1
100j-50r-6m.ms;Random;1179;54;134,75;1;409,473696146748;221,389188508766;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;2;414,965184529517;315,161324328345;0,98019801980198;1
100j-50r-6m.ms;Random;1179;54;134,75;3;412,377030282617;466,866814705823;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;4;410,020211237999;177,775418602338;0,98019801980198;1
100j-50r-6m.ms;Random;1179;54;134,75;5;412,586798594983;311,160988708479;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;6;418,792228481498;498,789591506932;0,98019801980198;1
100j-50r-6m.ms;Random;1179;54;134,75;7;411,733006529406;398,493500785788;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;8;412,754710321987;360,425431148506;0,98019801980198;0,99009900990099
100j-50r-6m.ms;Random;1179;54;134,75;9;420,867880466947;363,148624188098;0,98019801980198;1
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;0;113,065025386785;79,4113781875608;0,967741935483871;0,967741935483871
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;1;110,757002096037;105,003189203215;0,967741935483871;1
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;2;111,999012231914;88,5618788967826;0,967741935483871;0,967741935483871
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;3;110,411583678133;108,455912080358;0,967741935483871;1
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;4;111,52555308344;89,1704619234105;0,967741935483871;1
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;5;110,464055992097;77,2292143692382;0,967741935483871;0,967741935483871
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;6;112,200881924241;120,920023738691;0,967741935483871;1
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;7;113,426914678396;104,526997568232;0,967741935483871;0,967741935483871
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;8;111,140917061269;99,1963605590099;0,967741935483871;0,967741935483871
30j-15r-4m.ms;Rolling Machine Assignment;72;5;8,75;9;113,610028359762;85,0762480995316;0,967741935483871;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;0;121,915858547209;91,0219071202986;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;1;127,356796249662;156,820602964395;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;2;121,542617654147;79,2198219262003;0,935483870967742;0,967741935483871
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;3;124,428975188352;91,7446311365704;0,935483870967742;0,967741935483871
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;4;119,883371515952;92,8553146580172;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;5;120,434164915844;81,4628062582687;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;6;125,488788394599;98,5344573051965;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;7;119,861049033287;80,640463653404;0,935483870967742;1
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;8;121,53349580664;73,3713242813766;0,935483870967742;0,967741935483871
30j-15r-4m.ms;GreedyLoadBalancing;140;11;18,25;9;122,335638925492;78,2159036796217;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;0;133,130624452029;32,6163732236048;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;1;136,883179642008;36,7301715806251;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;2;133,283173776387;32,9870716080717;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;3;131,470738616192;19,0152304210413;0,935483870967742;1
30j-15r-4m.ms;Random;179;17;34;4;135,790458643837;72,2200645248306;0,935483870967742;1
30j-15r-4m.ms;Random;179;17;34;5;134,407972852071;59,9326841256018;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;6;137,33247057305;62,2899151637965;0,935483870967742;1
30j-15r-4m.ms;Random;179;17;34;7;131,920971208403;23,9699679232488;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;8;133,192715351549;27,8986182133365;0,935483870967742;0,967741935483871
30j-15r-4m.ms;Random;179;17;34;9;140,095693650826;98,1045844249087;0,935483870967742;0,967741935483871
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;0;58,4755851692513;13,7598257807761;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;1;60,6297653462616;15,5700161177744;1;1
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;2;62,304100408946;16,6660695619296;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;3;62,705091580258;17,3034751928434;1;1
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;4;62,7045677376749;26,8847707129291;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;5;60,5492237693181;19,2872410363528;1;1
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;6;63,2761807868253;25,8798882070422;1;1
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;7;60,8640788988111;12,4440256881835;1;1
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;8;60,0354487672622;17,1206562122084;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Rolling Machine Assignment;86;7;8,25;9;62,405208289939;16,4746354435843;0,870967741935484;0,870967741935484
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;0;62;2,0091920519792;0,580645161290323;0,612903225806452
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;1;66,1582981695617;29,7704445162807;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;2;64,8592398173326;9,52614739008602;0,967741935483871;1
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;3;62,484101466954;25,7252903084772;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;4;63,3705226105879;17,5973303032662;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;5;65,4445025437015;21,9786211967353;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;6;68,1503888062524;30,2449198716033;0,967741935483871;1
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;7;64,1957181160789;12,3744740259812;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;8;66,149486717458;20,6368848914537;0,935483870967742;0,967741935483871
30j-15r-8m.ms;GreedyLoadBalancing;154;15;33,75;9;62,5353194194802;19,7492750554996;0,967741935483871;1
30j-15r-8m.ms;Random;423;20;49,25;0;104,344888548128;24,3948593217015;1;1
30j-15r-8m.ms;Random;423;20;49,25;1;103,08851146979;16,1108990981469;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Random;423;20;49,25;2;102,305496448261;9,0180142405373;1;1
30j-15r-8m.ms;Random;423;20;49,25;3;102,336343845606;10,7271745611162;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Random;423;20;49,25;4;103,478105700454;9,23633237433874;1;1
30j-15r-8m.ms;Random;423;20;49,25;5;104,605296173183;15,9921018837801;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Random;423;20;49,25;6;111,341218127926;48,573083415859;1;1
30j-15r-8m.ms;Random;423;20;49,25;7;105,446726794934;27,2952605951037;1;1
30j-15r-8m.ms;Random;423;20;49,25;8;106,894972102971;24,4370233542786;0,967741935483871;0,967741935483871
30j-15r-8m.ms;Random;423;20;49,25;9;104,241275832097;27,1235849562474;1;1
30j-30r-4m.ms;Rolling Machine Assignment;37;5;4,5;0;95,9633789742983;87,3049710244627;0,967741935483871;1
